,id,Цитата,Автор
0,0,"Чем умнее человек, тем легче он признает себя дураком. ",Альберт Эйнштейн
1,1,"Менее всего просты люди, желающие казаться простыми. ",Лев Толстой
2,2,"Никогда не ошибается тот, кто ничего не делает. ",Теодор Рузвельт
3,3,"Музыка заводит сердца так, что пляшет и поёт тело. А есть музыка, с которой хочется поделиться всем, что наболело. ",Джон Леннон
4,4,Невозможность писать для меня равносильна погребению заживо...,Михаил Булгаков
5,5,"История – самый лучший учитель, у которого самые плохие ученики. ",Индира Ганди
6,6,"Мы находимся здесь, чтобы внести свой вклад в этот мир. Иначе зачем мы здесь?",Стив Джобс
7,7,"Дай человеку власть, и ты узнаешь, кто он. ",Наполеон Бонапарт
8,8,"Мода проходит, стиль остаётся. ",Коко Шанель
9,9,"Если человек не нашёл, за что может умереть, он не способен жить. ",Мартин Лютер Кинг
10,10,"Если кто-то причинил тебе зло, не мсти. Сядь на берегу реки, и вскоре ты увидишь, как мимо тебя проплывает труп твоего врага. ",Лао-цзы
11,11,"Лучше быть хорошим человеком, ""ругающимся матом"", чем тихой, воспитанной тварью. ",Фаина Раневская
12,12,"Если тебе тяжело, значит ты поднимаешься в гору. Если тебе легко, значит ты летишь в пропасть. ",Генри Форд
13,13,Мой способ шутить – это говорить правду. На свете нет ничего смешнее. ,Бернард Шоу
14,14,"Чем больше любви, мудрости, красоты, доброты вы откроете в самом себе, тем больше вы заметите их в окружающем мире. ",Мать Тереза
15,15,"Единственный человек, с которым вы должны сравнивать себя, – это вы в прошлом. И единственный человек, лучше которого вы должны быть, – это вы сейчас. ",Зигмунд Фрейд
16,16,Ядерную войну невозможно выиграть. ,Андрей Сахаров
17,17,"Некоторые люди проводят жизнь в поисках любви вне их самих... Пока любовь в моём сердце, она повсюду. ",Майкл Джексон
18,18,Поражение? Я не понимаю значения этого слова. ,Маргарет Тэтчер
19,19,"Человечество обладает одним поистине мощным оружием, и это смех. ",Марк Твен
20,20,"Когда я собираюсь писать новый сценарий, самое трудное для меня – это пойти в канцтовары и купить блокнот. ",Квентин Тарантино
21,21,"Тренируйся с теми, кто сильнее. Не сдавайся там, где сдаются другие. И победишь там, где победить нельзя. ",Брюс Ли
22,22,Ненавижу всяческую мертвечину! Обожаю всяческую жизнь!,Владимир Маяковский
23,23,Комедия – это очень серьёзное дело! ,Юрий Никулин
24,24,"Мышление – верх блаженства и радость жизни, доблестнейшее занятие человека. ",Аристотель
