quotes,processed_quotes
"Выкинь все, что есть в твоих мыслях: грусть, пустоту, печаль. Помнишь, как ты подарил мне лето, в то время, как был февраль.",выкидывать твой мысль грусть пустота печаль помнить подарить лето время февраль 
"Порой молчание, красноречивее любых произнесенных слов, может прозвучать куда громче и убедительнее.", пора молчание красноречиво любой произносить слово мочь прозвучать громко убедительно 
"А вы знаете, жизнь ведь замечательна и удивительна, но только при одном условии...если замечать и удивляться!", знать жизнь замечательный удивительный условие ... замечать удивляться 
- А че он такой красивый?, че красивый 
"Не тот велик, кто никогда не падал, а тот велик - кто падал и вставал.", большой падать большой падать вставать 
"Любить можно по разному...Кто-то хочет, чтобы ты была его, А кто-то, чтобы ты была счастливая.", любить разный ... кто-то хотеть кто-то счастливый 
"Если сложно жить, значит живешь не в том окружении...", сложно жить значит жить окружение ... 
Добром добро оплатишь - молодец, добро добро оплачивать молодец 
На зло добром ответишь - ты мудрец., зло добро отвечать мудрец 
"- Оно ведь как - любовь приходит и уходит, а кушать хочется всегда.", оно любовь приходить уходить кушать хотеться 
"Нельзя... Нельзя, мой друг родной.", ... друг родной 
"Любить одну, гулять с другой.", любить гулять 
"Удивительная штука, любовь: болеешь одним человеком, выздоравливаешь другим.", удивительный штука любовь болеть человек выздоравливать 
"Если любить, то всем сердцем...", любить сердце ... 
"Если растворяться, то без остатка...", растворяться остаток ... 
"Если утро, то в нежных объятьях...", утро нежный объятие ... 
"Если плакать, то от счастья...", плакать счастие ... 
"Страх показывает нам один мир, а любовь показывает другой мир. Мы решаем, какой мир реален. И мы решаем, в каком мире нам жить.", страх показывать мир любовь показывать мир решать мир реальный решать мир жить 
"Все проходит, да не все забывается.", весь проходить забываться 
Отвечаю резко... Посылаю дерзко. Кому не нравится - свободен!, отвечать резко ... посылать дерзко нравиться свободный 
"Научитесь прощать, не судите всех строго, сгоряча не гасите души своей свет, не старайтесь больнее ответить в ответ, победителей нет, а потерь очень много!", научаться прощать судить строго сгоряча гасить душа свой свет стараться больно отвечать ответ победитель потеря очень 
Любить и быть в отношениях - абсолютно разные вещи., любить отношение абсолютно разный вещь 
"Любовь в браке сохраняется до тех пор, пока муж и жена продолжают интересоваться мыслями друг друга.", любовь брак сохраняться пора пока муж жена продолжать интересоваться мысль друг друг 
"Делай сегодня то,что другие не хотят - завтра будешь жить так, как другие не могут.", делать сегодня хотеть завтра жить мочь 
"Любовь не надо искать. Любовь не вокруг нас, а внутри нас. И если ты создал в своей душе пространство для любви, любовь обязательно придет.", любовь искать любовь вокруг внутри создавать свой душа пространство любовь любовь обязательно прийти 
"Если вдруг вы стали для кого-то плохим, значит много хорошего было сделано для этого человека!!!", становиться кто-то плохой значит хороший сделать человек !!! 
"Если вы ждете любви, то никогда ее не найдете.", ждать любовь находить 
"Лоханись мальчик, я уже не таю от твоего привет.", лохануться мальчик таить твой привет 
"Самое важное в жизни - это научиться принимать вещи, которые не можешь изменить.", самый важный жизнь это научаться принимать вещь который мочь изменить 
"Лучше быть одной, чем несчастной с кем-то.", несчастный кто-то 
"Жизнь на 10 состоит из того, что с нами происходит, а 90 из того, как мы на это реагируем.", жизнь 10 состоять происходить 90 это реагировать 
"Вы даже не замечаете, что ваши мечты сбываются. Вам всего всегда мало.", замечать ваш мечта сбываться мало 
"Не проси о легкой жизни. Проси сил, чтобы справиться с тяжелой.", просить легкий жизнь просить сила справляться тяжелый 
"- Что бы ты подарил любимому человеку, если бы был всемогущ?", подарить любимый человек всемогущий 
- А что ты думаешь о сексе без любви?, думать секс любовь 
- Зачем удовлетворять тех кто тебя не любит?, удовлетворять любить 
"Я чертовски люблю слушать ложь, смотря в глаза... Особенно когда знаю правду...", чертовски любить слушать ложь смотреть глаз ... особенно знать правда ... 
"Чем больше человек вам угрожает, тем сильней он вас боится.", человек угрожать сильно бояться 
"Никогда не стоит никому ничего объяснять. Тот, кто не хочет слушать, не услышит и не поверит, а тот, кто верит и понимает, не нуждается в объяснениях.", стоить никто ничто объяснять хотеть слушать услышать поверять верить понимать нуждаться объяснение 
Я не солнышко и не зайчик и тем более не милая я твой ад в котором сгоришь ты., солнышко зайчик милый твой ад который сгорать 
"Любовь подобна ветру, ее не видно, но ты чувствуешь.", любовь подобный ветер видно чувствовать 
"Красивых любят чаще и прилежней,", красивый любить часто прилежно 
"Веселых любят меньше, но быстрей,-", веселый любить мало быстро 
"И молчаливых любят, только реже,", молчаливый любить редко 
"Зато уж если любят, то сильней.", зато любить сильно 
"Маяковский понимал любовь так: Если ты меня любишь, значит, ты со мной, за меня, всегда, везде и при всяких обстоятельствах.", маяковский понимать любовь любить значит везде всякий обстоятельство 
"Ребенок может научить взрослого трем вещам: радоваться без причины, всегда находить себе занятие, и настаивать на своем.", ребенок мочь научать взрослый вещь радоваться причина находить занятие настаивать свой 
"Женщина должна быть не умной, а мудрой.", женщина должный умный мудрый 
Человека исправит боль и могила;, человек исправлять боль могила 
А миром правят любовь и дебилы., мир править любовь дебил 
"Каждый человек получает в жизни то, чего хочет. Но не каждый после этого рад.", каждый человек получать жизнь хотеть каждый это рад 
"Жизнь состоит из мгновений счастья, часов страданий, и многих лет раздумий.", жизнь состоять мгновение счастие час страдание многий год раздумье 
35 полезных советов от Робина Шарма. Не знакомы? - тогда читаем ниже и приобретаем опыт которыи делится писатель и спеалист по мотивации., 35 полезный совет робин шарм знакомый читать низко приобретать опыт который делиться писатель спеалист мотивация 
"1. Помните, что качество вашей жизни определяется качеством ваших мыслей.", 1 помнить качество ваш жизнь определяться качество ваш мысль 
"2. Держите обещания, данные другим и самому себе.", 2 держать обещание данные 
"3. Дело, которое пугает вас больше всего, нужно сделать в первую очередь.", 3 дело который пугать нужно сделать первый очередь 
6. Прочитайте книгу «Искусство войны»., 6 прочитывать книга  « искусство война » 
"8. В мире, где технологии являются чем-то обычным, некоторые из нас забыли о том, как действовать по-человечески. Станьте самым вежливым человеком.", 8 мир технология являться что-то обычный некоторые забывать действовать по-человечески становиться самый вежливый человек 
9. Помните: все великие идеи были сначала осмеяны., 9 помнить весь великий идея сначала осмеивать 
10. Помните: критики пугают мечтателей., 10 помнить критика пугать мечтатель 
"11. Будьте как в вашей одержимости делать все правильно, даже в мелочах.", 11 ваш одержимость делать правильно мелочь 
