id,Цитата,Автор
1,"Чем умнее человек, тем легче он признает себя дураком. ",Альберт Эйнштейн
2,"Менее всего просты люди, желающие казаться простыми. ",Лев Николаевич Толстой
3,"Никогда не ошибается тот, кто ничего не делает. ",Теодор Рузвельт
4,"Музыка заводит сердца так, что пляшет и поёт тело. А есть музыка, с которой хочется поделиться всем, что наболело. ",Джон Леннон
5,Невозможность писать для меня равносильна погребению заживо...,Михаил Булгаков
6,"История – самый лучший учитель, у которого самые плохие ученики. ",Индира Ганди
7,"Мы находимся здесь, чтобы внести свой вклад в этот мир. Иначе зачем мы здесь?",Стив Джобс
8,"Дай человеку власть, и ты узнаешь, кто он. ",Наполеон Бонапарт
9,"Мода проходит, стиль остаётся. ",Коко Шанель
10,"Если человек не нашёл, за что может умереть, он не способен жить. ",Мартин Лютер Кинг
11,"Если кто-то причинил тебе зло, не мсти. Сядь на берегу реки, и вскоре ты увидишь, как мимо тебя проплывает труп твоего врага. ",Лао-цзы
12,"Лучше быть хорошим человеком, ""ругающимся матом"", чем тихой, воспитанной тварью. ",Фаина Раневская
13,"Если тебе тяжело, значит ты поднимаешься в гору. Если тебе легко, значит ты летишь в пропасть. ",Генри Форд
14,Мой способ шутить – это говорить правду. На свете нет ничего смешнее. ,Бернард Шоу
15,"Чем больше любви, мудрости, красоты, доброты вы откроете в самом себе, тем больше вы заметите их в окружающем мире. ",Мать Тереза
16,"Единственный человек, с которым вы должны сравнивать себя, – это вы в прошлом. И единственный человек, лучше которого вы должны быть, – это вы сейчас. ",Зигмунд Фрейд
17,Ядерную войну невозможно выиграть. ,Андрей Сахаров
18,"Некоторые люди проводят жизнь в поисках любви вне их самих... Пока любовь в моём сердце, она повсюду. ",Майкл Джексон
19,Поражение? Я не понимаю значения этого слова. ,Маргарет Тэтчер
20,"Человечество обладает одним поистине мощным оружием, и это смех. ",Марк Твен
21,"Когда я собираюсь писать новый сценарий, самое трудное для меня – это пойти в канцтовары и купить блокнот. ",Квентин Тарантино
22,"Тренируйся с теми, кто сильнее. Не сдавайся там, где сдаются другие. И победишь там, где победить нельзя. ",Брюс Ли
23,Ненавижу всяческую мертвечину! Обожаю всяческую жизнь!,Владимир Маяковский
24,Комедия – это очень серьёзное дело! ,Юрий Никулин
25,"Мышление – верх блаженства и радость жизни, доблестнейшее занятие человека. ",Аристотель
26,"Будьте менее любопытны о людях, но более любопытны об идеях. ",Мария Кюри
27,"У тебя есть враги? Хорошо. Значит, в своей жизни ты что-то когда-то отстаивал. ",Уинстон Черчилль
28,"Чемпионами становятся не в тренажёрных залах. Чемпиона рождает то, что у человека внутри: желания, мечты, цели. ",Мухаммед Али
29,Когда-нибудь не страшно умереть – страшно умереть вот сейчас. ,Александр Солженицын
30,"Люди – слишком сложные существа, чтобы понять их полностью. ",Том Хэнкс
31,"Я серьёзно отношусь к своей работе, а это возможно только при несерьёзном отношении к собственной персоне. ",Алан Рикман
32,"Перспектива рано умереть заставила меня понять, что жизнь стоит того, чтобы её прожить. ",Стивен Хокинг
33,Характер – это и есть судьба. ,Майя Плисецкая
34,Не так уж сложно изменить общество – сложно изменить себя. ,Нельсон Мандела
35,Внимай лишь одному учителю – Природе. ,Рембрандт
36,"Необходимо, чтобы художник, кроме глаза, воспитывал и свою душу. ",Василий Кандинский
37,"Успех – паршивый учитель. Он заставляет умных людей думать, что они не могут проиграть.", Билл Гейтс
38,"Я дышу, и значит – я люблю! Я люблю, и значит – я живу!",Владимир Высоцкий
39,"Не оборачивается тот, кто устремлён к звёздам. ",Леонардо да Винчи
40,Фантазия мужчины – лучшее оружие женщины. ,Софи Лорен
41,"Ненавижу советы – все, кроме своих. ",Джек Николсон
42,"То, что мы знаем, это капля, а то, что мы не знаем, это океан. ",Исаак Ньютон
43,"Я пью, чтобы окружающие меня люди становились интереснее. ",Эрнест Хемингуэй
44,"Ни высокий интеллект, ни воображение, ни то и другое вместе не творят гения. Любовь, любовь и любовь – вот в чём сущность гения. ",Вольфганг Амадей Моцарт
45,"Видите ли, художника отличает то, что в его жизни бывают минуты, когда он ощущает себя больше чем человеком. ",Ле Корбюзье
46,"Оправдайте, не карайте, но назовите зло злом. ",Фёдор Достоевский
47,"Шире открой глаза, живи так жадно, как будто через десять секунд умрёшь. Старайся увидеть мир. Он прекраснее любой мечты, созданной на фабрике и оплаченной деньгами. Не проси гарантий, не ищи покоя – такого зверя нет на свете. ",Рэй Брэдбери
48,"Любите искусство в себе, а не себя в искусстве. ",Константин Станиславский
49,"Любовь к собственному благу производит в нас любовь к отечеству, а личное самолюбие – гордость народную, которая служит опорою патриотизма.",Николай Карамзин
50,Громким смехом не скроешь дикой боли.,Марина Цветаева
51,"Люди, которые воспринимают все пустяки близко к сердцу — больше всех способны искренне любить.",Лев Толстой
52,"Не красота вызывает любовь, а любовь заставляет нас видеть красоту.",Лев Толстой
53, Берегите в себе человека.,А. П. Чехов
54,"Падает тот, кто бежит. Тот, кто ползет, не падает.
",Плиний Старший
55,Влюбиться? Влюбляться не значит любить. Влюбиться можно и ненавидя.,Достоевский
56,"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.",Альберт Эйнштейн
57,"Ты никогда не пройдёшь свой путь до конца, если будешь останавливаться, чтобы бросить камень в каждую тявкающую собаку.",Уинстон Черчилль
58,"Не оборачивается тот, кто устремлён к звёздам. ",Леонардо да Винчи
59,"Когда кажется, что весь мир настроен против тебя, помни, что самолёт взлетает против ветра!
",Генри Форд
60,"Возраст — это то, что существует в наших мыслях. Если вы о нем не думаете — его нет.",Марк Твен
